year,median_price,mean_price,min_price,max_price,price_range,std_dev,count,yoy_growth,growth_3yr_ma
2003,604.0180230397622,604.0180230397622,604.0180230397622,604.0180230397622,0.0,0.0,9,,
2004,678.4476031215163,727.5602378298031,579.7844667409885,883.5883500557413,303.80388331475285,115.23690769494,50,12.322410465035816,12.322410465035816
2005,548.7021553325901,796.1077294685991,548.7021553325901,1330.103121516165,781.4009661835748,307.14500105419125,25,-19.12387149604058,-3.4007305155023815
2006,973.785767372724,1038.4488053861455,882.4665551839466,1196.0525826830176,313.58602749907095,140.63061291998872,17,77.47073852525217,23.556425831415805
2007,576.2002972872539,1641.6418927288496,576.2002972872539,2973.443887030844,2397.2435897435903,1225.734602048082,18,-40.828843818302715,5.83934107030296
2008,918.3342623560015,1031.9152122656621,489.168524712003,1773.180044593088,1284.011519881085,328.028069646841,58,59.37760995256536,32.0065015531716
2009,967.6765143069492,1233.8298556887096,423.0072463768116,11330.208101077667,10907.200854700855,908.9364208622233,1996,5.373016555470689,7.973927563244444
2010,933.05834262356,1136.5513092421895,399.9962839093275,11408.709587513937,11008.713303604609,863.6367689158755,1845,-3.5774529165030766,20.391057863844324
2011,935.661464139725,1088.0708694090033,348.1716833890747,8478.879598662208,8130.707915273133,749.0284267444796,1237,0.2789880757987362,0.6915172382554506
2012,974.8104793756968,1117.5465627574242,340.98197696023783,6778.276662950576,6437.294685990338,634.1789475761874,1315,4.184100418410042,0.2952118592352349
2013,992.0475659606096,1186.072849232483,359.9981419546637,5668.246934225195,5308.248792270531,643.2385412635988,1683,1.7682500290673975,2.0771128410920596
2014,1106.2318840579712,1308.0385902962566,353.7086584912672,4206.613712374582,3852.905053883315,657.539990631557,2192,11.509964039556486,5.820771495677977
2015,1067.5,1294.7420102333308,343.9901523597176,4406.915644741732,4062.925492382014,699.1857091461181,2705,-3.5012445958338967,3.2589898242633297
2016,1052.7164622816797,1339.9474132616117,367.6570048309179,8829.166666666666,8461.509661835747,787.2444716038115,3253,-1.3848747277115048,2.207948238670363
2017,1154.228911185433,1328.0235282774158,345.6531029357117,5396.845968041621,5051.192865105909,680.2315053388143,3909,9.642905050020122,1.5855952421582415
2018,1270.3200483091787,1339.336882195299,351.9504830917875,5057.910628019324,4705.960144927536,616.6189268910815,4016,10.05789544853075,6.10530859027979
2019,1318.3890746934226,1362.2787264666601,347.7749907097733,4266.918431809737,3919.1434410999636,623.5259043562219,4398,3.7840091123669817,7.828269870305952
2020,1316.019137866964,1377.2559502424197,371.6406540319584,9160.235042735045,8788.594388703086,680.6056968906045,3615,-0.17976004746623753,4.554048171143832
2021,1401.3196767001116,1478.9599558544523,362.42753623188406,9618.376068376068,9255.948532144184,740.6231439486061,3695,6.481709602749763,3.36198622255017
2022,1501.868264585656,1674.8841195612295,454.25306577480495,9769.331103678933,9315.078037904128,969.7638522537134,4403,7.175278386322281,4.492409313868603
2023,1559.6451133407656,1880.752500056361,350.72185061315497,15159.919639539206,14809.19778892605,1186.8918294828495,4978,3.8469984430391735,5.834662144037073
2024,1546.559364548495,1881.7719559317272,392.4061687105165,11916.85850984764,11524.452341137123,1088.0010069280231,5278,-0.8390209208709587,3.394418636163499
2025,1520.3880992196212,1761.3379102587926,536.8459680416203,4311.117614269789,3774.2716462281683,714.5498264697244,312,-1.6922250725573962,0.4385841498702738
