property_type_en,rooms_en,reg_type_en,area_name_en,median_price_sqft,transaction_count,growth_2023_to_2024,recent_growth,growth_score,price_score,volume_score,investment_score
Villa,3 B/R,Off-Plan Properties,Wadi Al Safa 4,1029.864130434783,194,32.86048955400707,32.86048955400707,47.658650964401595,88.70983031136647,2.3205482746182517,46.140519134094234
Villa,6 B/R,Existing Properties,Al Goze Fourth,394.4581475287997,11,14.463997535098327,14.463997535098327,38.84412524431536,100.0,0.12023566189731874,45.56169723010561
Villa,4 B/R,Existing Properties,Madinat Al Mataar,766.2850706057229,446,18.995417943518376,18.995417943518376,41.01531753997083,93.39321761318371,5.350486954430684,45.49418969082958
Villa,1 B/R,Existing Properties,Wadi Al Safa 7,850.7539018952064,194,24.486861748678063,24.486861748678063,43.646497039368654,91.89233870377008,2.3205482746182517,45.49041008180214
Villa,3 B/R,Existing Properties,Madinat Al Mataar,1134.3076458565588,882,22.680570378060597,22.680570378060597,42.781027594003056,86.85403253213194,10.592761813153782,45.287173159871564
Villa,4 B/R,Existing Properties,Wadi Al Safa 5,903.3983649201041,1471,8.426113575850014,8.426113575850014,35.951123502516566,90.95692900240118,17.674642298905855,45.20245656150815
Villa,3 B/R,Existing Properties,Saih Shuaib 2,545.9859253065774,129,13.819254484728472,13.819254484728472,38.535201989028934,97.3075885816678,1.5390164722856798,44.91416066456905
Villa,2 B/R,Off-Plan Properties,Wadi Al Safa 5,685.5262913415088,336,,,38.972589541993,94.82817470560816,4.027894673560178,44.84306716319169
Villa,2 B/R,Existing Properties,Wadi Al Safa 6,633.8482441471572,44,15.24337630697392,15.24337630697392,39.21755808266983,95.74641271043943,0.5170133461584706,44.51434971543146
Villa,5 B/R,Off-Plan Properties,Al Barsha South Fourth,601.8139167595689,11,,,38.972589541993,96.31561256344212,0.12023566189731874,44.5077667182093
Villa,2 B/R,Existing Properties,Wadi Al Safa 2,611.5644741731699,23,,,38.972589541993,96.14236042115846,0.26451845617410125,44.484647634379556
Villa,3 B/R,Existing Properties,Wadi Al Safa 2,624.2094017094017,37,,,38.972589541993,95.91767985247445,0.4328483828303475,44.45090944910561
