property_type_en,rooms_en,reg_type_en,area_name_en,median_price_sqft,transaction_count,growth_2023_to_2024,recent_growth,growth_score,price_score,volume_score,investment_score
Villa,2 B/R,Off-Plan Properties,Wadi Al Safa 7,709.5847268673356,1209,58.193352564293896,58.193352564293896,100.0,98.69669591141366,6.214311435773445,70.85187106057879
Apartment,1 B/R,Off-Plan Properties,Al Barsha South Fourth,973.3263656633223,19440,3.614650466000557,3.614650466000557,49.490365461384314,96.45961844945992,100.0,68.73403171939171
Villa,2 B/R,Off-Plan Properties,Wadi Al Safa 2,840.2842809364548,410,49.71530666171356,49.71530666171356,92.15402741952833,97.58809194569098,2.1040176963835586,66.55884209079535
Apartment,6 B/R,Off-Plan Properties,Al Wasl,3214.2498141954666,10,56.14674312532628,56.14674312532628,98.10597374376245,77.45192833438982,0.046298677915530634,62.48722773340503
Apartment,Studio,Off-Plan Properties,Al Barsha South Fourth,1088.8254830917872,11456,5.129369118913485,5.129369118913485,50.89215558548199,95.47994579081451,58.92792839137816,60.786431649712775
Villa,4 B/R,Off-Plan Properties,Al Yelayiss 2,555.9308807134894,1016,30.1872414104164,30.1872414104164,74.08186005078281,100.0,5.221462009362622,60.67703642218565
Apartment,1 B/R,Off-Plan Properties,Marsa Dubai,1704.0294035674474,12339,5.907466919528259,5.907466919528259,51.6122429828256,90.26173742870506,63.47034312464633,60.41748704667102
Villa,4 B/R,Off-Plan Properties,Madinat Al Mataar,657.5534188034188,3011,24.23529784470466,24.23529784470466,68.5736584494119,99.13802958597915,15.484335613971911,60.267739378352886
Villa,4 B/R,Off-Plan Properties,Al Hebiah Fourth,1244.5136566332221,1375,32.42263043072653,32.42263043072653,76.15059159123162,94.1593863762592,7.068264828437677,60.12170551505794
Villa,3 B/R,Off-Plan Properties,Wadi Al Safa 4,1029.864130434783,194,32.86048955400707,32.86048955400707,76.55580650924979,95.98006065230332,0.9928494264108236,59.61491068467307
Apartment,1 B/R,Off-Plan Properties,Business Bay,1714.0057134894096,13750,-0.3940774919812373,-0.3940774919812373,45.7805047219747,90.17711757807483,70.7289469622923,59.51112655467079
Apartment,Studio,Off-Plan Properties,Al Hebiah Fourth,927.7882292827944,4147,20.066663217073522,20.066663217073522,64.71581274272091,96.84587652771148,21.328257626421113,59.20573958068603
Villa,3 B/R,Off-Plan Properties,Al Hebiah Fourth,1335.393441099963,1227,30.83193963316384,30.83193963316384,74.67849335950501,93.3885368490254,6.306908791604506,59.149340156830526
Villa,1 B/R,Off-Plan Properties,Wadi Al Safa 7,811.3805276848756,577,28.74635034406952,28.74635034406952,72.74839336188892,97.83325586921917,2.9631153865939606,59.04195718284011
Villa,3 B/R,Off-Plan Properties,Wadi Al Safa 5,942.833519137867,6134,13.840736321648384,13.840736321648384,58.954054399957116,96.71826118795325,31.549976850661043,58.90709548650103
Villa,3 B/R,Off-Plan Properties,Al Yelayiss 2,639.4444444444446,3096,18.246316250137447,18.246316250137447,63.03118015714146,99.29163134026602,15.921600905396367,58.18428164601566
Villa,3 B/R,Off-Plan Properties,Madinat Al Mataar,861.7688591601635,3113,19.72500443878138,19.72500443878138,64.3996260368266,97.40585805216072,16.00905396368126,58.18341862311512
Villa,3 B/R,Off-Plan Properties,Al Yufrah 1,1012.7547844667411,3189,19.54191202826565,19.54191202826565,64.23018392137857,96.12518347943296,16.400020577190183,57.809632727819356
Apartment,2 B/R,Off-Plan Properties,Marsa Dubai,1725.1950947603125,10670,3.1115263761014145,3.1115263761014145,49.0247513494435,90.08220836021823,54.88451052008848,57.611465151860564
Villa,4 B/R,Off-Plan Properties,Al Hebiah Fifth,1199.7607766629508,75,28.587644103386456,28.587644103386456,72.60151932663865,94.53898384746647,0.3806780184165852,57.478438488578725
Apartment,2 B/R,Off-Plan Properties,Al Thanyah Third,1386.0706986250466,808,27.21062294167642,27.21062294167642,71.32716077731564,92.95868833833693,4.151448119759247,57.248760436379186
Villa,5 B/R,Off-Plan Properties,Wadi Al Safa 4,1246.031679672984,28,28.15091457450553,28.15091457450553,72.19734978709425,94.1465103846468,0.1388960337465919,57.15067223698105
Apartment,4 B/R,Off-Plan Properties,Al Wasl,3077.226402824229,158,39.88640336013365,39.88640336013365,83.05790943592172,78.61417175843907,0.8076547147487011,56.968946244850144
Apartment,1 B/R,Off-Plan Properties,Al Merkadh,1488.8294314381274,10138,1.221134476574437,1.221134476574437,47.27529597016556,92.08708063071634,52.147744225526004,56.96579142238633
Villa,4 B/R,Off-Plan Properties,Wadi Al Safa 5,813.3405332590116,3580,14.666603306686966,14.666603306686966,59.71834959181935,97.81663094675633,18.41144091774268,56.91461730430318
Apartment,Studio,Off-Plan Properties,Al Warsan First,843.6580267558529,1681,19.9491996559356,19.9491996559356,64.6071065749928,97.55947556653526,8.642419877565718,56.83916927547084
Apartment,1 B/R,Off-Plan Properties,Hadaeq Sheikh Mohammed Bin Rashid,1622.2946859903382,7398,7.411716761124532,7.411716761124532,53.004344788708856,90.95501777452236,38.052368949020014,56.098717037644256
Apartment,1 B/R,Off-Plan Properties,Al Thanyah Fifth,931.0323764399852,4375,10.26713691423977,10.26713691423977,55.64688158132633,96.81835941466956,22.501157466947888,55.80449195032098
Apartment,Studio,Off-Plan Properties,Al Thanyah Fifth,1013.5646599777036,4100,11.43724460639155,11.43724460639155,56.729752914451296,96.11831405122726,21.086475641751118,55.744690509498916
