project_number_int,property_type_en,rooms_en,reg_type_en,transaction_year,median_price_sqft,transaction_count,median_unit_size_sqft,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,growth_2003_to_2004,growth_2004_to_2005,growth_2005_to_2006,growth_2006_to_2007,growth_2007_to_2008,growth_2008_to_2009,growth_2009_to_2010,growth_2010_to_2011,growth_2011_to_2012,growth_2012_to_2013,growth_2013_to_2014,growth_2014_to_2015,growth_2015_to_2016,growth_2016_to_2017,growth_2017_to_2018,growth_2018_to_2019,growth_2019_to_2020,growth_2020_to_2021,growth_2021_to_2022,growth_2022_to_2023,growth_2023_to_2024,growth_2024_to_2025,CAGR_2021_to_2025,project_id,project_name,developer_name,area_name_en,master_project_en,project_status,completion_date,project_start_date,no_of_units,no_of_buildings,no_of_villas,no_of_lands,project_type,project_classification,has_project_info,buildings_count,transactions_count,price_growth_rank,price_growth_rank_in_area,micro_segment,micro_segment_with_dev,short_term_growth,medium_term_growth,long_term_cagr,short_term_growth_rank,short_term_growth_rank_in_area,short_term_growth_rank_by_developer,medium_term_growth_rank,medium_term_growth_rank_in_area,medium_term_growth_rank_by_developer,long_term_cagr_rank,long_term_cagr_rank_in_area,long_term_cagr_rank_by_developer,growth_acceleration,is_emerging
149.0,Apartment,1 B/R,Existing Properties,2012,1049.8095503530287,85,750.3584399999999,,,,,,,,,,1049.8095503530287,1137.4489037532517,1110.2285395763656,1334.1606280193237,1279.9228911185432,1307.8112225938314,1093.13127090301,863.8145670754367,1138.47082868822,791.6457636566333,923.2329988851728,1019.6906354515052,1266.4947974730585,1513.621330360461,,,,,,,,,,8.348119272753006,-2.3931065463307144,20.169909208819718,-4.065307861865253,2.1789071567362983,-16.41520947228442,-20.97796576966829,31.79574321635603,-30.464115222979306,16.621984386139378,10.447810756635366,24.203827459126547,19.512637034157223,13.84062448354344,149.0,Goldcrest Executive,Nakheel Company (PJSC),Al Thanyah Fifth,Jumeirah Lakes Towers,FINISHED,2009-02-09,2006-04-25,574.0,1.0,0.0,0.0,normal,Buildings,True,1,778,10.0,3.0,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth | Nakheel Company (PJSC),19.512637034157223,10.447810756635366,13.84062448354344,10.0,3.0,3.0,871.0,58.0,85.0,5.0,2.0,2.0,9.064826277521856,True
149.0,Apartment,1 B/R,Existing Properties,2013,1137.4489037532517,58,769.8412799999999,,,,,,,,,,1049.8095503530287,1137.4489037532517,1110.2285395763656,1334.1606280193237,1279.9228911185432,1307.8112225938314,1093.13127090301,863.8145670754367,1138.47082868822,791.6457636566333,923.2329988851728,1019.6906354515052,1266.4947974730585,1513.621330360461,,,,,,,,,,8.348119272753006,-2.3931065463307144,20.169909208819718,-4.065307861865253,2.1789071567362983,-16.41520947228442,-20.97796576966829,31.79574321635603,-30.464115222979306,16.621984386139378,10.447810756635366,24.203827459126547,19.512637034157223,13.84062448354344,149.0,Goldcrest Executive,Nakheel Company (PJSC),Al Thanyah Fifth,Jumeirah Lakes Towers,FINISHED,2009-02-09,2006-04-25,574.0,1.0,0.0,0.0,normal,Buildings,True,1,778,10.0,3.0,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth | Nakheel Company (PJSC),19.512637034157223,10.447810756635366,13.84062448354344,10.0,3.0,3.0,871.0,58.0,85.0,5.0,2.0,2.0,9.064826277521856,True
149.0,Apartment,1 B/R,Existing Properties,2014,1110.2285395763656,25,639.05868,,,,,,,,,,1049.8095503530287,1137.4489037532517,1110.2285395763656,1334.1606280193237,1279.9228911185432,1307.8112225938314,1093.13127090301,863.8145670754367,1138.47082868822,791.6457636566333,923.2329988851728,1019.6906354515052,1266.4947974730585,1513.621330360461,,,,,,,,,,8.348119272753006,-2.3931065463307144,20.169909208819718,-4.065307861865253,2.1789071567362983,-16.41520947228442,-20.97796576966829,31.79574321635603,-30.464115222979306,16.621984386139378,10.447810756635366,24.203827459126547,19.512637034157223,13.84062448354344,149.0,Goldcrest Executive,Nakheel Company (PJSC),Al Thanyah Fifth,Jumeirah Lakes Towers,FINISHED,2009-02-09,2006-04-25,574.0,1.0,0.0,0.0,normal,Buildings,True,1,778,10.0,3.0,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth | Nakheel Company (PJSC),19.512637034157223,10.447810756635366,13.84062448354344,10.0,3.0,3.0,871.0,58.0,85.0,5.0,2.0,2.0,9.064826277521856,True
149.0,Apartment,1 B/R,Existing Properties,2015,1334.1606280193237,10,639.05868,,,,,,,,,,1049.8095503530287,1137.4489037532517,1110.2285395763656,1334.1606280193237,1279.9228911185432,1307.8112225938314,1093.13127090301,863.8145670754367,1138.47082868822,791.6457636566333,923.2329988851728,1019.6906354515052,1266.4947974730585,1513.621330360461,,,,,,,,,,8.348119272753006,-2.3931065463307144,20.169909208819718,-4.065307861865253,2.1789071567362983,-16.41520947228442,-20.97796576966829,31.79574321635603,-30.464115222979306,16.621984386139378,10.447810756635366,24.203827459126547,19.512637034157223,13.84062448354344,149.0,Goldcrest Executive,Nakheel Company (PJSC),Al Thanyah Fifth,Jumeirah Lakes Towers,FINISHED,2009-02-09,2006-04-25,574.0,1.0,0.0,0.0,normal,Buildings,True,1,778,10.0,3.0,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth | Nakheel Company (PJSC),19.512637034157223,10.447810756635366,13.84062448354344,10.0,3.0,3.0,871.0,58.0,85.0,5.0,2.0,2.0,9.064826277521856,True
149.0,Apartment,1 B/R,Existing Properties,2016,1279.9228911185432,16,769.8412799999999,,,,,,,,,,1049.8095503530287,1137.4489037532517,1110.2285395763656,1334.1606280193237,1279.9228911185432,1307.8112225938314,1093.13127090301,863.8145670754367,1138.47082868822,791.6457636566333,923.2329988851728,1019.6906354515052,1266.4947974730585,1513.621330360461,,,,,,,,,,8.348119272753006,-2.3931065463307144,20.169909208819718,-4.065307861865253,2.1789071567362983,-16.41520947228442,-20.97796576966829,31.79574321635603,-30.464115222979306,16.621984386139378,10.447810756635366,24.203827459126547,19.512637034157223,13.84062448354344,149.0,Goldcrest Executive,Nakheel Company (PJSC),Al Thanyah Fifth,Jumeirah Lakes Towers,FINISHED,2009-02-09,2006-04-25,574.0,1.0,0.0,0.0,normal,Buildings,True,1,778,10.0,3.0,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth | Nakheel Company (PJSC),19.512637034157223,10.447810756635366,13.84062448354344,10.0,3.0,3.0,871.0,58.0,85.0,5.0,2.0,2.0,9.064826277521856,True
149.0,Apartment,1 B/R,Existing Properties,2017,1307.8112225938314,11,639.05868,,,,,,,,,,1049.8095503530287,1137.4489037532517,1110.2285395763656,1334.1606280193237,1279.9228911185432,1307.8112225938314,1093.13127090301,863.8145670754367,1138.47082868822,791.6457636566333,923.2329988851728,1019.6906354515052,1266.4947974730585,1513.621330360461,,,,,,,,,,8.348119272753006,-2.3931065463307144,20.169909208819718,-4.065307861865253,2.1789071567362983,-16.41520947228442,-20.97796576966829,31.79574321635603,-30.464115222979306,16.621984386139378,10.447810756635366,24.203827459126547,19.512637034157223,13.84062448354344,149.0,Goldcrest Executive,Nakheel Company (PJSC),Al Thanyah Fifth,Jumeirah Lakes Towers,FINISHED,2009-02-09,2006-04-25,574.0,1.0,0.0,0.0,normal,Buildings,True,1,778,10.0,3.0,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth | Nakheel Company (PJSC),19.512637034157223,10.447810756635366,13.84062448354344,10.0,3.0,3.0,871.0,58.0,85.0,5.0,2.0,2.0,9.064826277521856,True
149.0,Apartment,1 B/R,Existing Properties,2018,1093.13127090301,10,769.8412799999999,,,,,,,,,,1049.8095503530287,1137.4489037532517,1110.2285395763656,1334.1606280193237,1279.9228911185432,1307.8112225938314,1093.13127090301,863.8145670754367,1138.47082868822,791.6457636566333,923.2329988851728,1019.6906354515052,1266.4947974730585,1513.621330360461,,,,,,,,,,8.348119272753006,-2.3931065463307144,20.169909208819718,-4.065307861865253,2.1789071567362983,-16.41520947228442,-20.97796576966829,31.79574321635603,-30.464115222979306,16.621984386139378,10.447810756635366,24.203827459126547,19.512637034157223,13.84062448354344,149.0,Goldcrest Executive,Nakheel Company (PJSC),Al Thanyah Fifth,Jumeirah Lakes Towers,FINISHED,2009-02-09,2006-04-25,574.0,1.0,0.0,0.0,normal,Buildings,True,1,778,10.0,3.0,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth | Nakheel Company (PJSC),19.512637034157223,10.447810756635366,13.84062448354344,10.0,3.0,3.0,871.0,58.0,85.0,5.0,2.0,2.0,9.064826277521856,True
149.0,Apartment,1 B/R,Existing Properties,2019,863.8145670754367,5,639.05868,,,,,,,,,,1049.8095503530287,1137.4489037532517,1110.2285395763656,1334.1606280193237,1279.9228911185432,1307.8112225938314,1093.13127090301,863.8145670754367,1138.47082868822,791.6457636566333,923.2329988851728,1019.6906354515052,1266.4947974730585,1513.621330360461,,,,,,,,,,8.348119272753006,-2.3931065463307144,20.169909208819718,-4.065307861865253,2.1789071567362983,-16.41520947228442,-20.97796576966829,31.79574321635603,-30.464115222979306,16.621984386139378,10.447810756635366,24.203827459126547,19.512637034157223,13.84062448354344,149.0,Goldcrest Executive,Nakheel Company (PJSC),Al Thanyah Fifth,Jumeirah Lakes Towers,FINISHED,2009-02-09,2006-04-25,574.0,1.0,0.0,0.0,normal,Buildings,True,1,778,10.0,3.0,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth | Nakheel Company (PJSC),19.512637034157223,10.447810756635366,13.84062448354344,10.0,3.0,3.0,871.0,58.0,85.0,5.0,2.0,2.0,9.064826277521856,True
149.0,Apartment,1 B/R,Existing Properties,2020,1138.47082868822,3,639.05868,,,,,,,,,,1049.8095503530287,1137.4489037532517,1110.2285395763656,1334.1606280193237,1279.9228911185432,1307.8112225938314,1093.13127090301,863.8145670754367,1138.47082868822,791.6457636566333,923.2329988851728,1019.6906354515052,1266.4947974730585,1513.621330360461,,,,,,,,,,8.348119272753006,-2.3931065463307144,20.169909208819718,-4.065307861865253,2.1789071567362983,-16.41520947228442,-20.97796576966829,31.79574321635603,-30.464115222979306,16.621984386139378,10.447810756635366,24.203827459126547,19.512637034157223,13.84062448354344,149.0,Goldcrest Executive,Nakheel Company (PJSC),Al Thanyah Fifth,Jumeirah Lakes Towers,FINISHED,2009-02-09,2006-04-25,574.0,1.0,0.0,0.0,normal,Buildings,True,1,778,10.0,3.0,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth | Nakheel Company (PJSC),19.512637034157223,10.447810756635366,13.84062448354344,10.0,3.0,3.0,871.0,58.0,85.0,5.0,2.0,2.0,9.064826277521856,True
149.0,Apartment,1 B/R,Existing Properties,2021,791.6457636566333,2,769.8412799999999,,,,,,,,,,1049.8095503530287,1137.4489037532517,1110.2285395763656,1334.1606280193237,1279.9228911185432,1307.8112225938314,1093.13127090301,863.8145670754367,1138.47082868822,791.6457636566333,923.2329988851728,1019.6906354515052,1266.4947974730585,1513.621330360461,,,,,,,,,,8.348119272753006,-2.3931065463307144,20.169909208819718,-4.065307861865253,2.1789071567362983,-16.41520947228442,-20.97796576966829,31.79574321635603,-30.464115222979306,16.621984386139378,10.447810756635366,24.203827459126547,19.512637034157223,13.84062448354344,149.0,Goldcrest Executive,Nakheel Company (PJSC),Al Thanyah Fifth,Jumeirah Lakes Towers,FINISHED,2009-02-09,2006-04-25,574.0,1.0,0.0,0.0,normal,Buildings,True,1,778,10.0,3.0,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth | Nakheel Company (PJSC),19.512637034157223,10.447810756635366,13.84062448354344,10.0,3.0,3.0,871.0,58.0,85.0,5.0,2.0,2.0,9.064826277521856,True
149.0,Apartment,1 B/R,Existing Properties,2022,923.2329988851728,13,769.8412799999999,,,,,,,,,,1049.8095503530287,1137.4489037532517,1110.2285395763656,1334.1606280193237,1279.9228911185432,1307.8112225938314,1093.13127090301,863.8145670754367,1138.47082868822,791.6457636566333,923.2329988851728,1019.6906354515052,1266.4947974730585,1513.621330360461,,,,,,,,,,8.348119272753006,-2.3931065463307144,20.169909208819718,-4.065307861865253,2.1789071567362983,-16.41520947228442,-20.97796576966829,31.79574321635603,-30.464115222979306,16.621984386139378,10.447810756635366,24.203827459126547,19.512637034157223,13.84062448354344,149.0,Goldcrest Executive,Nakheel Company (PJSC),Al Thanyah Fifth,Jumeirah Lakes Towers,FINISHED,2009-02-09,2006-04-25,574.0,1.0,0.0,0.0,normal,Buildings,True,1,778,10.0,3.0,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth,Apartment | Existing Properties | 1 B/R | Al Thanyah Fifth | Nakheel Company (PJSC),19.512637034157223,10.447810756635366,13.84062448354344,10.0,3.0,3.0,871.0,58.0,85.0,5.0,2.0,2.0,9.064826277521856,True
