year,median_price,mean_price,min_price,max_price,price_range,std_dev,count,yoy_growth,growth_3yr_ma
2006,658.6185432924564,658.6185432924565,658.6185432924564,658.6185432924564,0.0,1.1797840708431313e-13,14,,
2007,474.4402638424378,493.3922625829072,373.1642512077295,749.1471571906354,375.98290598290595,78.24116795958611,547,-27.964332514736856,-27.964332514736856
2008,752.6068376068376,758.626300232442,559.8736529171313,1049.6451133407654,489.77146042363415,104.02821850644445,698,58.630473626239144,15.333070555751144
2009,662.6793013749536,789.0299515693805,370.0009290226682,3151.5282422891123,2781.5273132664443,422.8542744854308,1683,-11.948806699370195,6.239111470710697
2010,767.1200297287255,891.9567522194967,350.0459866220736,3263.6984392419176,2913.652452619844,437.77704468750414,3009,15.760372798286305,20.814013241718417
2011,815.1430694908956,940.4251101290726,406.1798587885545,3271.507803790413,2865.3279450018586,455.17412586096907,4111,6.260172841419931,3.3572463134453465
2012,844.3710516536604,1005.2066036981872,351.7028985507247,14464.797008547008,14113.094109996284,860.1113841072646,5654,3.5856260399808493,8.535390559895696
2013,912.3708658491267,1061.6691088355258,376.6852471200297,3660.792456335935,3284.1072092159056,499.91607591172624,6699,8.053309509165674,5.966369463522152
2014,1036.1622073578596,1201.9302525204573,343.288740245262,6696.00380899294,6352.715068747679,601.4717854236211,8172,13.56809452628922,8.402343358478582
2015,974.1099962839094,1144.069453730443,396.4734299516909,6961.424191750279,6564.950761798587,561.3272828035168,8789,-5.988658014480086,5.210915340324935
2016,925.836120401338,1063.100385313688,369.3459680416202,6077.045707915274,5707.699739873654,488.99111019659495,9523,-4.955690431956283,0.8745820266176173
2017,933.7890189520625,1049.541269607934,348.2590115198811,4038.3797844667415,3690.1207729468606,460.0656294399333,10568,0.8589963575062365,-3.3617840296433776
2018,849.8629691564474,955.9695129739059,342.41871051653663,3698.5349312523226,3356.116220735786,431.8043436134832,11001,-8.987688663312877,-4.361460912587641
2019,705.527684875511,828.025356483472,343.1744704570792,4895.397157190636,4552.222686733557,403.50883808863176,11622,-16.983359614338767,-8.370683973381803
2020,665.5174656261613,782.1980945734925,344.87272389446304,3887.665366034931,3542.792642140468,404.4605662756641,11897,-5.670963749127633,-10.547337342259759
2021,713.9882943143813,849.5037649487042,350.00000000000006,5058.829431438127,4708.829431438127,487.78408522411223,13934,7.283179058661604,-5.1237147682682656
2022,801.0061315496099,974.3816537264792,346.826458565589,7793.814567075437,7446.988108509848,636.5323052026591,14779,12.187571971160803,4.599929093564925
2023,899.2219435154218,1108.4846542574005,348.6352657004831,10862.829803047194,10514.194537346712,767.445353092528,15966,12.261555573339455,10.57743553438729
2024,1040.323299888517,1243.005452621944,347.8223708658492,13222.075436640656,12874.253065774807,779.2250985219367,16459,15.691493895430654,13.380207146643636
2025,1219.2456335934596,1316.338541377951,499.8973429951691,4713.344481605352,4213.447138610182,588.473079428915,724,17.19872406242522,15.05059117706511
