property_type_en,rooms_en,reg_type_en,area_name_en,median_price_sqft,transaction_count,growth_2023_to_2024,recent_growth,growth_score,price_score,volume_score,investment_score
Apartment,1 B/R,Existing Properties,Marsa Dubai,1326.1624396135267,16374,10.231491948529836,10.231491948529836,36.81615549253494,92.36203456337746,100.0,62.435072566027216
Villa,4 B/R,Existing Properties,Island 2,4191.345224823486,14,142.10031031918854,142.10031031918854,100.0,70.1162337152971,0.07939901056617601,61.05074991670236
Apartment,1 B/R,Existing Properties,Al Barsha South Fourth,721.7800074321814,13234,14.959704809188135,14.959704809188135,39.081639250388214,97.05456981515526,80.82208514016979,60.91344367273582
Apartment,2 B/R,Existing Properties,Marsa Dubai,1213.714232627276,13869,14.310304987150404,14.310304987150404,38.77048474179563,93.23510291742893,84.70042142551762,60.41880905705045
Apartment,1 B/R,Existing Properties,Al Thanyah Fifth,943.2808435525828,10598,14.371793695523948,14.371793695523948,38.799946543583516,95.33479699177616,64.72240884382825,57.0648994837319
Villa,3 B/R,Existing Properties,Al Thanayah Fourth,659.787718320327,8318,22.64928487362741,22.64928487362741,42.76603740548186,97.53588923561865,50.79704391376046,56.52659051563043
Villa,2 B/R,Existing Properties,Al Thanayah Fourth,647.5106837606838,5582,31.58880275391329,31.58880275391329,47.04933284028318,97.6312103673903,34.08660599767911,54.92641744586618
Apartment,1 B/R,Existing Properties,Nadd Hessa,645.2863712374582,7936,16.55751469353486,16.55751469353486,39.84721653038845,97.64848033483216,48.463934526354365,54.9262176178759
Villa,4 B/R,Existing Properties,Jumeirah First,2337.928279450018,27,86.95416118019132,86.95416118019132,73.57718257101514,84.5065003565977,0.15879802113235203,54.81458273961184
Apartment,1 B/R,Existing Properties,Business Bay,1194.1164994425865,10134,8.48334260082224,8.48334260082224,35.97854431252941,93.38726328630692,61.88847492823551,54.78529169655094
Apartment,4 B/R,Existing Properties,Al Thanyah Fifth,822.3230211817169,89,65.93632068607572,65.93632068607572,63.50665959165413,96.2739355491379,0.5374702253710377,54.39233854647723
Villa,3 B/R,Existing Properties,Wadi Al Safa 6,727.6279728725382,115,64.43627768946236,64.43627768946236,62.78792650051408,97.00916514665587,0.6962682465033897,54.35717379350307
Apartment,Studio,Existing Properties,Al Barsha South Fourth,853.7290969899666,7323,19.243559465871066,19.243559465871066,41.134212480851474,96.03009305802128,44.719965797349296,54.206706069216835
Apartment,5 B/R,Existing Properties,Burj Khalifa,3237.9487179487182,23,93.80810382925677,93.80810382925677,76.86119202793155,77.51857779284515,0.13436755634275943,54.02692366029472
Apartment,1 B/R,Existing Properties,Al Hebiah Fourth,675.2554812337421,7446,15.279976001531193,15.279976001531193,39.23509452106748,97.41579470792801,45.471202589629264,54.01301673873125
Apartment,PENTHOUSE,Existing Properties,Al Thanyah Fifth,718.4766350798959,46,60.01413281721453,60.01413281721453,60.6690926666336,97.08021779958939,0.274842728882917,53.44667095230684
